date,open,high,low,close,adjusted_close,volume
2024-10-01,262.67,263.98,248.53,258.02,258.02,87397609
2024-10-02,247.55,251.1585,241.5,249.02,249.02,93983930
2024-10-03,244.48,249.79,237.81,240.66,240.66,80729242
2024-10-04,246.69,250.96,244.58,250.08,250.08,86726289
2024-10-07,249.0,249.83,240.7,240.83,240.83,68113273
2024-10-08,243.56,246.21,240.56,244.5,244.5,56303160
2024-10-09,243.82,247.43,239.51,241.05,241.05,66289531
2024-10-10,241.81,242.7899,232.34,238.77,238.77,83087055
2024-10-11,220.13,223.34,214.38,217.8,217.8,142628891
2024-10-14,220.13,221.91,213.74,219.16,219.16,86291922
2024-10-15,220.01,224.26,217.12,219.57,219.57,62988793
2024-10-16,221.4,222.8199,218.93,221.33,221.33,49632820
2024-10-17,221.59,222.08,217.9,220.89,220.89,50791781
2024-10-18,220.71,222.28,219.23,220.7,220.7,49611871
2024-10-21,218.9,220.48,215.726,218.85,218.85,47328992
2024-10-22,217.31,218.22,215.26,217.97,217.97,43268738
2024-10-23,217.125,218.72,212.11,213.65,213.65,80938891
2024-10-24,244.68,262.1199,242.65,260.48,260.48,204491906
2024-10-25,256.01,269.49,255.32,269.19,269.19,161611906
2024-10-28,270.0,273.536,262.24,262.51,262.51,107653602
2024-10-29,264.51,264.98,255.51,259.52,259.52,80521750
2024-10-30,258.035,263.35,255.8201,257.55,257.55,53993578
2024-10-31,257.99,259.75,249.25,249.85,249.85,66575289
2024-11-01,252.043,254.0,246.63,248.98,248.98,57544762
2024-11-04,244.56,248.9,238.88,242.84,242.84,68802352
2024-11-05,247.34,255.2799,246.2101,251.44,251.44,69282516
2024-11-06,284.67,289.59,275.62,288.53,288.53,165228703
2024-11-07,288.89,299.75,285.52,296.91,296.91,117309203
2024-11-08,299.14,328.71,297.66,321.22,321.22,204782797
2024-11-11,346.3,358.64,336.0,350.0,350.0,210521594
2024-11-12,342.74,345.84,323.31,328.49,328.49,155726000
2024-11-13,335.85,344.5999,322.5,330.24,330.24,125405602
2024-11-14,327.69,329.98,310.37,311.18,311.18,120726094
2024-11-15,310.57,324.6799,309.22,320.72,320.72,114440305
2024-11-18,340.73,348.5499,330.01,338.74,338.74,126547508
2024-11-19,335.76,347.3799,332.75,346.0,346.0,88852445
2024-11-20,345.0,346.5999,334.3,342.03,342.03,66340648
2024-11-21,343.81,347.9899,335.28,339.64,339.64,58011719
2024-11-22,341.085,361.53,337.7,352.56,352.56,89140719
2024-11-25,360.14,361.93,338.2,338.59,338.59,95890898
2024-11-26,341.0,346.96,335.66,338.23,338.23,62295859
2024-11-27,341.8,342.55,326.59,332.89,332.89,57896441
2024-11-29,336.08,345.45,334.6501,345.16,345.16,37167621
2024-12-02,352.38,360.0,351.1501,357.09,357.09,77986477
2024-12-03,351.8,355.69,348.2,351.42,351.42,58267199
2024-12-04,353.0,358.1,348.6,357.93,357.93,50810871
2024-12-05,359.87,375.43,359.5,369.49,369.49,81403570
2024-12-06,377.42,389.49,370.8,389.22,389.22,81455828
2024-12-09,397.61,404.8,378.01,389.79,389.79,96359172
2024-12-10,392.68,409.73,390.85,400.99,400.99,97563586
2024-12-11,409.7,424.88,402.38,424.77,424.77,104287602
2024-12-12,424.84,429.3,415.0,418.1,418.1,87752234
2024-12-13,420.0,436.3,415.71,436.23,436.23,89000156
2024-12-16,441.09,463.19,436.15,463.02,463.02,114083797
2024-12-17,475.9,483.99,457.5101,479.86,479.86,131223000
2024-12-18,466.495,488.5399,427.01,440.13,440.13,149340797
2024-12-19,451.88,456.36,420.02,436.17,436.17,118566094
2024-12-20,425.505,447.08,417.64,421.06,421.06,132216203
2024-12-23,431.0,434.51,415.4112,430.6,430.6,72698062
2024-12-24,435.9,462.78,435.14,462.28,462.28,59551754
2024-12-26,465.16,465.3299,451.02,454.13,454.13,76651211
2024-12-27,449.52,450.0,426.5,431.66,431.66,82666812
2024-12-30,419.4,427.0,415.75,417.41,417.41,64941008
2024-12-31,423.79,427.93,402.54,403.84,403.84,76825117
2025-01-02,390.1,392.7299,373.04,379.28,379.28,109710703
2025-01-03,381.48,411.8799,379.45,410.44,410.44,95423328
2025-01-06,423.2,426.43,401.7,411.05,411.05,85516531
2025-01-07,405.83,414.33,390.0,394.36,394.36,75699531
2025-01-08,392.95,402.4999,387.4,394.94,394.94,73038805
2025-01-10,391.4,399.28,377.29,394.74,394.74,62287328
2025-01-13,383.21,403.79,380.07,403.31,403.31,67580484
2025-01-14,414.34,422.64,394.54,396.36,396.36,84565023
2025-01-15,409.9,429.8,405.661,428.22,428.22,81375453
2025-01-16,423.49,424.0,409.13,413.82,413.82,68335148
2025-01-17,421.5,439.74,419.75,426.5,426.5,94991430
2025-01-21,432.64,433.2,406.31,424.07,424.07,87320891
2025-01-22,416.81,428.0,414.59,415.11,415.11,60963340
2025-01-23,416.06,420.73,408.95,412.38,412.38,50690594
2025-01-24,414.45,418.88,405.78,406.58,406.58,56427152
2025-01-27,394.8,406.69,389.0,397.15,397.15,58125512
2025-01-28,396.91,400.59,386.5,398.09,398.09,48910680
2025-01-29,395.21,398.5899,384.48,389.1,389.1,68033648
2025-01-30,410.78,412.5,384.41,400.28,400.28,98092883
2025-01-31,401.53,419.99,401.34,404.6,404.6,83568227
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732117
2025-02-04,382.63,394.0,381.4,392.21,392.21,57072238
2025-02-05,387.51,388.39,375.53,378.17,378.17,57614719
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918234
2025-02-07,370.19,380.5459,360.34,361.62,361.62,70298258
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514898
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543398
2025-02-12,329.94,346.4,329.12,336.51,336.51,105382703
2025-02-13,345.0,358.69,342.85,355.94,355.94,89441523
2025-02-14,360.62,362.0,347.5,355.84,355.84,68277281
2025-02-18,355.01,359.1,350.02,354.11,354.11,51631699
2025-02-19,354.0,367.34,353.67,360.56,360.56,67094367
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965352
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058648
2025-02-24,338.14,342.3973,324.7,330.53,330.53,76052320
2025-02-25,327.025,328.89,297.2512,302.8,302.8,134228797
2025-02-26,303.715,309.0,288.04,290.8,290.8,100118305
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748203
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551398
2025-03-04,270.93,284.35,261.8401,272.04,272.04,126706602
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042914
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451570
2025-03-07,259.32,266.2499,250.73,262.67,262.67,102369602
2025-03-10,252.535,253.37,220.0,222.15,222.15,189076891
2025-03-11,225.305,237.0649,217.02,230.58,230.58,174896406
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215703
